programme,title,ministry,description,total_project_cost,total_foreign_funding,total_government_funding,start_date,end_date,foreign_actual_pre_2024,foreign_actual_2024,foreign_actual_2025,foreing_actual_2026,foreign_donor,region,gov_actual_pre_2024,gov_actual_2024,gov_actual_2025,gov_actual_2026,budget_2026
081 - office of the auditor general,constitutional agencies,audit office of guyana,"the project entails provision for upgrading of facility, furniture and equipment.",40000000,0,40000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,40000000,40000000
091 - public and police service commission,constitutional agencies,public and police service commissions,the project entails provision for furniture and equipment.,7500000,0,7500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7500000,7500000
101 - teaching service commission,constitutional agencies,teaching service commission,the project entails provision for equipment.,15000000,0,15000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,15000000,15000000
111 - elections commission,constitutional agencies,guyana elections commission,"the project entails:
1. payment of retention.
2. provision for buildings and upgrading of facilities.
3. purchase of furniture and equipment.",773803000,0,773803000,01-Jan-23,31-Dec-26,0,0,0,0,nil,1 - 10 national,143313000,100000000,140330000,390160000,390160000
131 - policy development and administration,infrastructural development,ministry of local government and regional development,the project entails provision for building.,86056000,0,86056000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,28000000,58056000,58056000
131 - policy development and administration,furniture and equipment,ministry of local government and regional development,the project entails provision for furniture and equipment.,7500000,0,7500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7500000,7500000
133 - regional development,georgetown enhancement programme,ministry of local government and regional development,"the project entails:
1. payment of retention.
2. provision for markets and infrastructural enhancement works.",7569163000,4000000000,3569163000,01-Jan-25,31-Dec-28,0,0,0,2000000000,uk,4 demerara/mahaica,0,0,2725000000,844163000,2844163000
133 - regional development,furniture and equipment,ministry of local government and regional development,the project entails provision for furniture and equipment.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,3500000,3500000
134 - local government development,community infrastructure improvement project,ministry of local government and regional development,"the project includes:
1. payment of retention.
2. provision for markets and buildings.
3. provision for community enhancement programmes and national pathway workers project.",35028700000,0,35028700000,01-Jan-25,31-Dec-27,0,0,0,0,nil,1 - 10 national,0,0,16500000000,18463700000,18463700000
134 - local government development,project development and assistance,ministry of local government and regional development,the project entails provision for subvention to municipalities and neighbourhood democratic councils.,2800000000,0,2800000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,2800000000,2800000000
134 - local government development,regional economic transformation,ministry of local government and regional development,the project entails provision for community driven entrepreneurial interventions.,2500000000,0,2500000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,2500000000,2500000000
134 - local government development,local government commission,ministry of local government and regional development,the project entails provision for equipment.,2000000,0,2000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2000000,2000000
134 - local government development,furniture and equipment,ministry of local government and regional development,the project entails provision for furniture and equipment.,4000000,0,4000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,4000000,4000000
134 - local government development,solid waste disposal programme,ministry of local government and regional development,the project includes provision for landfill facilities and waste management equipment.,18824090000,0,18824090000,01-Jan-24,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,1230090000,11630000000,5964000000,5964000000
141 - policy development and administration,furniture and equipment,"ministry of public service, government efficiency and implementation",the project entails provision for furniture and equipment.,16491000,0,16491000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,6491000,10000000,10000000
142 - human resource development,buildings,"ministry of public service, government efficiency and implementation","the project entails:
1. payment of retention.
2. upgrading of facilities.",37891000,0,37891000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,25443000,12448000,12448000
142 - human resource development,furniture and equipment,"ministry of public service, government efficiency and implementation",the project entails provision for furniture and equipment.,15000000,0,15000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,15000000,15000000
143 - human resource management and technology,furniture and equipment,"ministry of public service, government efficiency and implementation",the project entails provision for furniture and equipment.,8500000,0,8500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,8500000,8500000
144 - government efficiency and implementation,furniture and equipment,"ministry of public service, government efficiency and implementation",the project entails provision for furniture and equipment.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,20000000,20000000
161 - policy development and administration,buildings,ministry of amerindian affairs,"the project entails:
1. payment of retention.
2. provision for hostel and upgrading of facilities.",648610000,0,648610000,01-Jan-25,31-Dec-27,0,0,0,0,nil,4 demerara/mahaica,0,0,40877000,520512000,520512000
161 - policy development and administration,land and water transport,ministry of amerindian affairs,"the project entails provision for boats, outboard engines and all terrain vehicles (atvs).",12100000,0,12100000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,12100000,12100000
161 - policy development and administration,office furniture and equipment,ministry of amerindian affairs,the project entails provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10000000,10000000
162 - community development and empowerment,amerindian development fund,ministry of amerindian affairs,"the project includes provision for:
1. youth entrepreneurship and apprenticeship programme.
2. presidential grants.
3. amerindian development projects and programmes.",5000000000,0,5000000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,5000000000,5000000000
162 - community development and empowerment,land and water transport,ministry of amerindian affairs,"the project includes provision for buses, vehicles, all terrain vehicles (atvs), boats and outboard engines.",407646000,0,407646000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,307646000,100000000,100000000
211 - ministry administration,furniture and equipment,ministry of agriculture,the project entails provision for furniture and equipment.,830000,0,830000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,830000,830000
212 - agriculture development and support services,national drainage and irrigation authority,ministry of agriculture,"the project includes:
1. payment of retention.
2. completion, construction and rehabilitation of drainage and irrigation structures and pump stations.",64208322000,0,64208322000,01-Jan-22,31-Dec-26,0,0,0,0,nil,1 - 10 national,20236554000,12971768000,15000000000,16000000000,16000000000
212 - agriculture development and support services,mangrove management,ministry of agriculture,"the project includes provision for:
1. mangrove restoration from no. 39 to 59 villages.
2. armour rocks.
3. rubble mound groynes.",284525000,0,284525000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,284525000,284525000
212 - agriculture development and support services,mahaica/mahaicony/abary,ministry of agriculture,the project includes provision for upgrading of drainage and irrigation structures.,175000000,0,175000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,175000000,175000000
212 - agriculture development and support services,guyana school of agriculture,ministry of agriculture,"the project includes:
1. construction of livestock training centre and office.
2. rehabilitation of farm houses.",50000000,0,50000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,50000000,50000000
212 - agriculture development and support services,guyana livestock development authority,ministry of agriculture,"the project includes:
1. payment of retention. 
2. provision for breeding stock, livestock farm, pens and equipment.",581500000,0,581500000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,381500000,200000000,200000000
212 - agriculture development and support services,national agricultural research and extension institute,ministry of agriculture,"the project entails provision for building, furniture and equipment.",400000000,0,400000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,400000000,400000000
212 - agriculture development and support services,hope coconut estate,ministry of agriculture,the project includes provision for seedlings and nurseries.,125000000,0,125000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,125000000,125000000
212 - agriculture development and support services,new guyana marketing corporation,ministry of agriculture,"the project includes:
1. completion of cold storage facility at sophia. 
2. provision for equipment.
3. construction of fruit pulping hub at lethem.",600000000,0,600000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,350000000,250000000,250000000
212 - agriculture development and support services,food safety authority,ministry of agriculture,the project entails provision for furniture and equipment.,3000000,0,3000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,3000000,3000000
212 - agriculture development and support services,integrated agriculture development programme,ministry of agriculture,"this project includes:
1. payment of retention.
2. provision for food hub, feedmill, silo and kimbia beans project.",17900000000,0,17900000000,01-Jan-24,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,6700000000,5000000000,6200000000,6200000000
212 - agriculture development and support services,agricultural infrastructure development programme,ministry of agriculture,"the project entails provision for:
1. swine abattoir and processing facility.
2. improvement of value chains for honey, peanut, coffee, cocoa and coconut.
3. management of fruit pests.
4. support to farmers.",3547500000,3127500000,420000000,01-Jan-25,31-Dec-29,0,0,0,900000000,cdf,1 - 10 national,0,0,50000000,45000000,945000000
213 - fisheries,aquaculture development,ministry of agriculture,"the project includes:
1. payment of retention.
2. provision for furniture and equipment.",125000000,0,125000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,80000000,45000000,45000000
214 - hydrometeorological services,hydrometeorology,ministry of agriculture,the project includes provision for furniture and equipment.,73000000,0,73000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,73000000,73000000
231 - policy development and administration,buildings,"ministry of tourism, industry and commerce","the project includes:
1. payment of retention.
2. provision for upgrading of facility.",98136000,0,98136000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,44923000,53213000,53213000
231 - policy development and administration,furniture and equipment,"ministry of tourism, industry and commerce",the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
"232 - business development, support and promotion",furniture and equipment,"ministry of tourism, industry and commerce",the project entails provision for furniture and equipment.,15000000,0,15000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,15000000,15000000
"232 - business development, support and promotion",national quality infrastructure,"ministry of tourism, industry and commerce","the project includes support to economic diversification through:
1. construction of laboratory facilities.
2. preparation of national quality policy.
3. capacity building.",3625193000,3536987000,88206000,01-Jan-17,31-Dec-26,942517000,828531000,265939000,500000000,idb,4 demerara/mahaica,78206000,10000000,0,0,500000000
"232 - business development, support and promotion",small business development fund,"ministry of tourism, industry and commerce","the project entails provision for:
1. small business development bank. 
2. small business development fund.",42300000000,0,42300000000,01-Jan-26,31-Dec-27,0,0,0,0,nil,1 - 10 national,0,0,0,21050000000,21050000000
"232 - business development, support and promotion",single window automated processing system,"ministry of tourism, industry and commerce","the project entails:
1. review and modernisation of regulatory framework.
2. design and deployment of electronic single window infrastructure including:
    a. business process re-engineering.
    b. development of licence, certificate and permits module.
    c. development of inter-agency goods declaration module.
    d. development of integrated risk management system.
    e. enhancement of information technology (it) infrastructure and internet access.
3. institutional strengthening for electronic single window stakeholders.",1248976000,1248976000,0,01-Jan-18,31-Dec-26,352992000,188519000,607465000,100000000,idb,1 - 10 national,0,0,0,0,100000000
"232 - business development, support and promotion",rural enterprise development,"ministry of tourism, industry and commerce",the project entails provision for enterprise development initiatives.,600000000,0,600000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,600000000,600000000
"232 - business development, support and promotion",industrial development,"ministry of tourism, industry and commerce","the project entails:
1. payment of retention.
2. provision for industrial estates at belvedere, coldingen, onderneeming and york.",8967081000,0,8967081000,01-Jan-22,31-Dec-27,0,0,0,0,nil,1 - 10 national,1921921000,3299600000,3000000000,494996000,494996000
"232 - business development, support and promotion",bureau of standards,"ministry of tourism, industry and commerce",the project entails provision for equipment.,325000000,0,325000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,200000000,125000000,125000000
233 - consumer protection,furniture and equipment,"ministry of tourism, industry and commerce",the project entails provision for furniture and equipment.,750000,0,750000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,750000,750000
233 - consumer protection,competition and consumer protection commission,"ministry of tourism, industry and commerce",the project entails provision for furniture and equipment.,3250000,0,3250000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,3250000,3250000
234 - tourism development and promotion,arthur chung conference centre,"ministry of tourism, industry and commerce","the project entail provision for upgrading of facility, furniture and equipment.",35000000,0,35000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,35000000,35000000
234 - tourism development and promotion,tourism development,"ministry of tourism, industry and commerce",the project entails provision for furniture and equipment.,7048000,0,7048000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7048000,7048000
261 - policy development and administration,furniture and equipment,ministry of natural resources,the project entails provision for furniture and equipment.,4000000,0,4000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,4000000,4000000
264 - petroleum management,furniture and equipment,ministry of natural resources,the project entails provision for equipment.,3000000,0,3000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,3000000,3000000
311 - policy development and administration,government buildings,ministry of public works,the project includes provision for office complex.,19601387000,0,19601387000,01-Jan-22,31-Dec-27,0,0,0,0,nil,4 demerara/mahaica,6699387000,1000000000,2136000000,6816000000,6816000000
311 - policy development and administration,furniture and equipment,ministry of public works,the project entails provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10000000,10000000
311 - policy development and administration,furnishings - government quarters,ministry of public works,the project entails provision for furniture and equipment.,2500000,0,2500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2500000,2500000
312 - public works,new demerara river crossing,ministry of public works,"the project entails:
1. payment of retention.
2. provision for new demerara river bridge.
3. provision for consultancy.
4. construction of approach road network.",61489763000,25701949000,35787814000,01-Jan-22,31-Dec-26,0,16000000000,6882449000,2819500000,china,3 & 4 essequibo islands/west demerara  & demerara/mahaica,21763570000,3669800000,10259739000,94705000,2914205000
312 - public works,infrastructural development,ministry of public works,"the project includes:
1. payment of retention.
2. provision for urban renewal projects and programmes.",13000000000,0,13000000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,8000000000,5000000000,5000000000
312 - public works,east bank - east coast demerara road linkage,ministry of public works,"the project entails provision for:
1. payment of retention.
2. construction of road link between east coast and east bank from ogle to haags bosch.
3. construction of road link between eccles and diamond.",63539661000,10560507000,52979154000,01-Sep-15,31-Dec-28,812293000,4077084000,1415000000,256130000,india,4 demerara/mahaica,8522404000,9500000000,6300000000,12750000000,13006130000
312 - public works,bridges,ministry of public works,"the project includes:
1. payment of retention.
2. completion of wismar bridge and schoonord to parika bridges.
3. provision for construction of berbice and corentyne river bridges.
4. relocation of demerara harbour bridge.
5. construction, upgrading and rehabilitation of community bridges.",132370266000,76728000000,55642266000,01-Jan-23,31-Dec-28,0,0,0,7462385000,other,1 - 10 national,5734547000,12750000000,14165922000,17017297000,24479682000
312 - public works,miscellaneous roads/drainage,ministry of public works,"the project includes:
1. payment of retention.
2. provision for completion, construction and rehabilitation of roads and drains.",90034053000,0,90034053000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,52444053000,37590000000,37590000000
312 - public works,urban roads/drainage,ministry of public works,the project entails provision for construction and rehabilitation of roads and drains.,1500000000,0,1500000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,1500000000,1500000000
312 - public works,highway improvement east coast demerara,ministry of public works,"the project includes provision for:
1. construction of 4-lane road - railway embankment sheriff street to orange nassau.
2. upgrading of 2-lane road - east coast demerara highway - belfield to orange nassau.
3. upgrading of 4-lane road from orange nassau - mahaica bridge.
4. construction of bridge - hope canal.
5. feasibility studies and designs.",46763425000,339133000,6037317000,01-Jan-22,31-Dec-27,0,42902000,128633000,77330000,kuwait,4 demerara/mahaica,966317000,300000000,481000000,4290000000,6097330000
