agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 01 - OFFICE OF THE PRESIDENT,014 - public policy and planning,number of public consultations hosted on the national development plan,0,,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,014 - public policy and planning,value of investment generated through go-invest (g$),$150.6B,$251.8B,agency 01,office of the president,outcome,economic development,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,014 - public policy and planning,number of jobs generated through investments projects approved by go-invest,2496,2303,agency 01,office of the president,outcome,economic development,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of environmental policies developed by the epa,3,,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of stakeholders' meetings conducted by the pac,7,58,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of projects advanced to improve coordination of multilateral environmental agreements in the sector by the epa,3,,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of environmental authorisations / permits granted by the epa,1575,,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of compliance audits conducted by the epa,338,,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of complaints investigated by the epa,0,,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of complaints reported to the epa,567,,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of collaborations established by the pac,1,1,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of risk assessments conducted,62,,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of tests conducted /scientific analysis by the pac,14,14,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,percentage complete of the integrated electronic data management system (epa),90%,,agency 01,office of the president,output,administration,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,"percentage of maps plotted for permitted operations, complaints, etc",90%,,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of environmental authorisations/permits issued for development activities that effectively prevent adverse environmental impacts,1601,1607,agency 01,office of the president,output,administration,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,percentage of regulated facilities that achieve compliance with permits and regulations,52%,57%,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of complaints investigated,534,360,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,percentage of complaints investigated that are brought into compliance with regulations thereby reducing and/or mitigating environmental harm,40%,45%,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,percentage of monitoring sites that report applicable standards for:,85%,85%,agency 01,office of the president,output,efficiency,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,Percentage of monitoring sites that report applicable standards for: air quality,90.00%,85.00%,agency 01,office of the president,outcome,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,Percentage of monitoring sites that report applicable standards for:: water quality,65.00%,68.00%,agency 01,office of the president,outcome,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of projects advanced to improve coordination of multilateral environmental agreements in the sector,3,56,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of priority regulatory instruments developed and approved (guidelines/standards/sops).,5,27,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,percentage of staff whose capacity has been enhanced via training to effectively execute the agency's mandate.,70%,75%,agency 01,office of the president,output,administration,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,"number of state of the environment reports published annually addressing one or two particular environmental parameters (air, quality, water quality, biodiversity, waste etc.)",0,1,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,percentage of land area studied for compilation of biodiversity conservation information,8%,20%,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,percentage of global biodiversity alliance action plan initiated,0%,30%,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,number of biodiversity financing models drafted,0,2,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,015 - environmental management and compliance,national monitoring system for biodiversity for guyana developed,No,Yes,agency 01,office of the president,output,environment_climate_risk,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,016 - police complaints authority,number of complaints received,143,300,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,016 - police complaints authority,number of complaints closed by the authority,21,300,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,016 - police complaints authority,number of complaints rejected by the authority,12,170,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,016 - police complaints authority,recommendations for pending investigations,110,,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,016 - police complaints authority,recommendations to be sent by the authority to the commissioner of police for investigation and necessary actions,0,,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,016 - police complaints authority,recommendations to be sent by the authority to the chairman police service commission for investigation and necessary actions,0,,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,016 - police complaints authority,recommendations to be sent by the authority to the director of public prosecutions for legal advice.,0,,agency 01,office of the president,output,governance,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,021 - prime minister's secretariat,number of outreach activities conducted within budgetary allocations,2420,2780,agency 02,office of the prime minister,output,efficiency,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,021 - prime minister's secretariat,number of citizens' complaints or concerns or issues successfully resolved,2200,3150,agency 02,office of the prime minister,output,governance,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,021 - prime minister's secretariat,percentage of budgetary allocation expended,99%,100%,agency 02,office of the prime minister,output,efficiency,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,"022 - disaster preparedness, response and management",national-level disaster risk management and/or preparedness plans actively being implemented,9,10,agency 02,office of the prime minister,output,environment_climate_risk,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,"022 - disaster preparedness, response and management",number of regional-level disaster risk management and/or preparedness plans actively being implemented,10,10,agency 02,office of the prime minister,output,environment_climate_risk,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,"022 - disaster preparedness, response and management",number of sector-specific disaster risk management and/ or preparedness plans actively being implemented,5,7,agency 02,office of the prime minister,output,environment_climate_risk,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,"022 - disaster preparedness, response and management","effects (damage, losses, and additional costs) of emergency/disaster as a percentage of gdp",,,agency 02,office of the prime minister,outcome,environment_climate_risk,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,"022 - disaster preparedness, response and management","number of deaths attributed to natural hazards (floods, drought, high winds, earthquakes)",1,0,agency 02,office of the prime minister,outcome,environment_climate_risk,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,"022 - disaster preparedness, response and management",time taken to mobilize formal disaster response mechanism outlined in plan/strategy<12 hours for regional <24 hours,<12 hours for Regional <24 hours for Nationa,<12 hours for Regional <24 hours for National,agency 02,office of the prime minister,output,environment_climate_risk,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,023 - energy,renewable energy share in the total final energy consumption,3%,2%,agency 02,office of the prime minister,output,utilities,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,023 - energy,energy intensity (electric sector) **,0.01,0.01,agency 02,office of the prime minister,outcome,utilities,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,023 - energy,"installed capacity of renewable energy (solar, hydro and wind) for off-grid areas (mw)",6.067,1.09,agency 02,office of the prime minister,output,utilities,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,023 - energy,installed capacity of hinterland solar panels (kw),234,205,agency 02,office of the prime minister,output,utilities,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,023 - energy,installed capacity of micro grids for large hinterland village (mw),1.564,0.5,agency 02,office of the prime minister,output,utilities,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,023 - energy,renewable energy share in power generation,9%,5%,agency 02,office of the prime minister,output,utilities,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,internet penetration measured by fixed internet subscriptions,44%,52%,agency 02,office of the prime minister,outcome,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,internet penetration in the hinterland measured by percentage of hinterland communities connected to the internet,100%,100%,agency 02,office of the prime minister,outcome,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,fixed broadband subscriptions per 100 inhabitants,13.54,16,agency 02,office of the prime minister,outcome,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,mobile-cellular subscriptions per 100 inhabitants,102,104,agency 02,office of the prime minister,outcome,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,"fixed internet broadband subscriptions (private sector) per 100 inhabitants, by speed",Speeds < 100 mbps = 4.0 Per 100 subscribers Speeds > 100 mbps = 9.5 per 100 subscribers,Speeds < 100 mbps = 5.0 Per 100 subscribers Speeds > 100 mbps = 11 per 100 subscribers,agency 02,office of the prime minister,outcome,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,"percentage of ""properly functioning"" community-based ict hubs.",83%,100%,agency 02,office of the prime minister,outcome,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,uptime of egovernment network,99.8%,99%,agency 02,office of the prime minister,outcome,efficiency,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,number of government services provided fully electronically (ndma),66,75,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,percentage of fdi in the ict sector -,,,agency 02,office of the prime minister,outcome,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,number of new ict businesses created,290,300,agency 02,office of the prime minister,output,economic development,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,number of persons trained in ict,3510,2800,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,ict sector as a share of gdp,,4.0%,agency 02,office of the prime minister,outcome,economic development,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,"number of youths and adults surveyed for information and communications technology (ict) skills, by type of skill ","Basic: 1,946 Intermediate : 857 Advance: 707","Basic: 2,000 Intermediate: 1,000 Advance: 700",agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,number of citizens enrolled with a digital identity card,4711,350000,agency 02,office of the prime minister,output,governance,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,number of citizens issued with a digital identity card,3221,350000,agency 02,office of the prime minister,output,governance,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,number of non-citizens issued with a digital identity card,0,35000,agency 02,office of the prime minister,output,governance,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,024 - telecommunications and innovation,number of digital -id regional offices established,2,14,agency 02,office of the prime minister,output,governance,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,number of new state radio stations successfully established,1,2,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,number of new state television relays successfully established,2,2,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,reach of existing radio stations 10 regions,10 Regions,10 Regions,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,reach of existing television stations 10 regions,10 Regions,10 Regions,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,reach of state radio stations 10 regions,10 Regions,10 Regions,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,reach of state television stations 10 regions,10 Regions,10 Regions,agency 02,office of the prime minister,output,ict_communication,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,"financial balance of state enterprises for radio, television, and internet media (g$)",($163.1M),($153.5M),agency 02,office of the prime minister,output,efficiency,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,"website views of state enterprises for radio, television, internet media",90439128,95439128,agency 02,office of the prime minister,outcome,efficiency,ministry
AGENCY 02 - OFFICE OF THE PRIME MINISTER,025 - government information and communication services,"number of subscribers of state enterprises for radio, television internet media",129800,260000,agency 02,office of the prime minister,outcome,efficiency,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,number of finance circulars issued/to be issued,19,6,agency 03,ministry of finance,output,administration,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,total tax revenues collected/to be collected by the guyana revenue authority as a percentage of the tax revenue collection target,100.3%,100%,agency 03,ministry of finance,outcome,efficiency,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,percentage of procurement transactions executed/to be executed in accordance with the procurement act,100%,100%,agency 03,ministry of finance,output,efficiency,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,percentage of tender awards published/to be published on the nptab website,100%,100%,agency 03,ministry of finance,output,governance,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,updated standard bidding documents published/to be published on nptab website,Yes,Yes,agency 03,ministry of finance,output,governance,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,number of bidders registered/to be registered on national bidders registry,974,1500,agency 03,ministry of finance,output,administration,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,number of national statistical reports published/to be published on bureau of statistics website,42,50,agency 03,ministry of finance,output,administration,ministry
AGENCY 03 - MINISTRY OF FINANCE,031 - policy and administration,number of intelligence reports remitted/to be remitted by fiu to law enforcement,75,30,agency 03,ministry of finance,output,governance,ministry
AGENCY 03 - MINISTRY OF FINANCE,032 - public financial management,percentage of transactions processed/to be processed electronically by the accountant general's department using the national payments system,100%,100%,agency 03,ministry of finance,output,efficiency,ministry
AGENCY 03 - MINISTRY OF FINANCE,032 - public financial management,percentage of payments processed/to be processed within mandated timelines,97%,100%,agency 03,ministry of finance,output,efficiency,ministry
AGENCY 03 - MINISTRY OF FINANCE,032 - public financial management,percentage of public sector investments executed/to be executed according to the budget,95%,,agency 03,ministry of finance,output,economic development,ministry
AGENCY 03 - MINISTRY OF FINANCE,032 - public financial management,national budget is submitted to the national assembly within the legal timeframe.,Yes,Yes,agency 03,ministry of finance,output,governance,ministry
AGENCY 03 - MINISTRY OF FINANCE,032 - public financial management,duration of information technology system downtime (%),0.16%,0.5%,agency 03,ministry of finance,output,efficiency,ministry
AGENCY 03 - MINISTRY OF FINANCE,032 - public financial management,number of internal audits (routine and follow-up) completed/to be completed,11,15,agency 03,ministry of finance,output,governance,ministry
AGENCY 03 - MINISTRY OF FINANCE,032 - public financial management,number of central government officers trained/to be trained in monitoring and evaluation,192,200,agency 03,ministry of finance,output,efficiency,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,statements and resolutions in support of guyana's sovereignty and territorial integrity,14,20,agency 12,ministry of foreign affairs and international cooperation,output,governance,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,offers received from diaspora in support of national development efforts,27,30,agency 12,ministry of foreign affairs and international cooperation,outcome,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,number of remigration applications approved,405,425,agency 12,ministry of foreign affairs and international cooperation,output,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,actions and/or activities undertaken in support of the sustainable development goals,4,7,agency 12,ministry of foreign affairs and international cooperation,output,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,number of caricom skills certificate issued,217,220,agency 12,ministry of foreign affairs and international cooperation,output,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,number of persons trained,146,150,agency 12,ministry of foreign affairs and international cooperation,output,administration,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,number of training programmes completed in accordance with work plan,75,80,agency 12,ministry of foreign affairs and international cooperation,output,administration,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,121 - development of foreign policy,contributions paid to regional and international organisations in accordance with budgetary allocation,100%,100%,agency 12,ministry of foreign affairs and international cooperation,output,administration,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,122 - foreign policy promotion,number of bilateral agreements and projects negotiated and approved,9,12,agency 12,ministry of foreign affairs and international cooperation,output,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,122 - foreign policy promotion,value of technical assistance for national projects,US$1.6M,US$1.7M,agency 12,ministry of foreign affairs and international cooperation,outcome,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,122 - foreign policy promotion,revenue collected from consular affairs services provided (g$),G$436M,G$535M,agency 12,ministry of foreign affairs and international cooperation,output,efficiency,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,123 - development of foreign trade policy,number of new markets secured,1,2,agency 12,ministry of foreign affairs and international cooperation,output,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,123 - development of foreign trade policy,number of markets sustained,130,130,agency 12,ministry of foreign affairs and international cooperation,output,economic development,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,123 - development of foreign trade policy,number of new products with preferential access,5,5,agency 12,ministry of foreign affairs and international cooperation,output,trade,ministry
AGENCY 12 - MINISTRY OF FOREIGN AFFAIRS & INTERNATIONAL COOPERATION,123 - development of foreign trade policy,average level of compliance with trade agreements,90%,95%,agency 12,ministry of foreign affairs and international cooperation,output,economic development,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,061 - policy development and administration,personnel with requisite skills are hired to reach the ministry's full staff complement,75%,100%,agency 06,ministry of parliamentary affairs and governance,output,efficiency,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,061 - policy development and administration,number of capacity building and training sessions accessed by administrative staff,7,10,agency 06,ministry of parliamentary affairs and governance,output,administration,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,061 - policy development and administration,percentage of budgetary allocation expended,70%,100%,agency 06,ministry of parliamentary affairs and governance,output,efficiency,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of parliamentary caucus meetings on parliamentary agenda facilitated,20,40,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of bills passed,14,18,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of bills presented by government to the national assembly,10,18,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of reports submitted to the national assembly by statutory bodies of which include: annual reports,10,20,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of reports submitted to the national assembly by statutory bodies of which include: audited financial statements,42,,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of cabinet parliamentary affairs subcommittee meetings held,20,30,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,percentage of budgetary allocation expended,47%,,agency 06,ministry of parliamentary affairs and governance,output,efficiency,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of committee recommendations adopted by the national assembly,0,,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of reports of constitutional bodies submitted to the national assembly of which include: annual reports,9,12,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,062 - parliamentary affairs,number of reports of constitutional bodies submitted to the national assembly of which include: audited financial statements,27,,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of constitutional bodies monitored for adherence to national reporting obligations and submission of annual reports,16,,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,"number of consultations with constitutional bodies in regard to their mandates, fiscal responsibilities and procurement mechanisms",32,32,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of state party reports submitted in keeping with guyana's regional and international human rights treaty obligations,1,2,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of human rights training workshops coordinated,3,5,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of meetings of the national mechanism for reporting and follow-up (nmrf) (human rights),3,4,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of state party reports submitted on anti-corruption,2,1,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of meetings of the national coordinating committee for the uncac and iacac (anti- corruption),2,4,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of training workshops on anti-corruption,1,3,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of state party reports to the us state department,4,3,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of responses to un and oas committees' and experts' requests for information from the state party.,17,20,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of public relations messages published in traditional and social media,150,,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
AGENCY 06 - MINISTRY OF PARLIAMENTARY AFFAIRS AND GOVERNANCE,063 - governance,number of media productions in areas of anti-corruption and human rights,2,4,agency 06,ministry of parliamentary affairs and governance,output,governance,ministry
